"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","GainTotal []"
10,10,-180,0.6,48,0.104795144719098
10,10,-180,0.6,50,0.144363142705752
10,10,-180,0.6,52,0.146021368203799
10,10,-180,0.6,54,0.0972742793327562
10,10,-180,0.6,56,0.103167217994974
10,10,-180,0.6,58,0.0655785516107683
10,10,-180,0.6,60,0.0382186538142816
10,10,-180,0.6,62,0.0531402759819263
10,10,-180,0.6,64,0.0446621328499485
10,10,-180,0.6,66,0.0113627746776317
10,10,-180,0.6,68,0.0331023315689366
10,10,-180,0.6,70,0.040743748647566
10,10,-180,0.6,72,0.0529938491279943
10,10,-180,0.6,74,0.0778136541765632
10,10,-180,0.6,76,0.0403340358163779
10,10,-180,0.6,78,0.05327830756383
10,10,-180,0.6,80,0.142060852371311
10,10,-180,0.6,82,0.142854357486657
10,10,-180,0.6,84,0.136360331252496
10,10,-180,0.6,86,0.201727103813831
10,10,-180,0.6,88,0.190792050755081
10,10,-180,0.6,90,0.143623494963764
10,10,-180,0.6,92,0.190792050755081
10,10,-180,0.6,94,0.201727103813831
10,10,-180,0.6,96,0.136360331252498
10,10,-180,0.6,98,0.142854357486661
10,10,-180,0.6,100,0.142060852371311
10,10,-180,0.6,102,0.0532783075638276
10,10,-180,0.6,104,0.0403340358163759
10,10,-180,0.6,106,0.0778136541765625
10,10,-180,0.6,108,0.0529938491279953
10,10,-180,0.6,110,0.0407437486475666
10,10,-180,0.6,112,0.0331023315689365
10,10,-180,0.6,114,0.0113627746776319
10,10,-180,0.6,116,0.0446621328499487
10,10,-180,0.6,118,0.0531402759819258
10,10,-180,0.6,120,0.038218653814282
10,10,-180,0.6,122,0.0655785516107687
10,10,-180,0.6,124,0.103167217994974
10,10,-180,0.6,126,0.0972742793327561
10,10,-180,0.6,128,0.146021368203799
10,10,-180,0.6,130,0.144363142705752
10,10,-180,0.6,132,0.104795144719099
10,10,-180,0.6,134,0.143221583644106
10,10,-180,0.6,136,0.181202250792758
10,10,-180,0.6,138,0.117133509667121
10,10,-180,0.6,140,0.119935044648812
10,10,-180,0.6,142,0.157684788184575
10,10,-180,0.6,144,0.161297585006693
10,10,-180,0.6,146,0.179623462383538
10,10,-180,0.6,148,0.155170216007041
10,10,-180,0.6,150,0.167841318832267
10,10,-180,0.6,152,0.262243055621284
10,10,-180,0.6,154,0.235024845644613
10,10,-180,0.6,156,0.221410436105944
10,10,-180,0.6,158,0.256197002198936
10,10,-180,0.6,160,0.249046951818491
10,10,-180,0.6,162,0.38173644800755
10,10,-180,0.6,164,0.337278144898865
10,10,-180,0.6,166,0.318864165532624
10,10,-180,0.6,168,0.57237093942401
10,10,-180,0.6,170,0.372308260842116
10,10,-180,0.6,172,0.357721843863474
10,10,-180,0.6,174,0.759023789548839
10,10,-180,0.6,176,0.610303386959311
10,10,-180,0.6,178,0.703671517023044
10,10,-180,0.6,180,0.900753361261108
10,5,-178,0.6,0,0.396410183031529
10,5,-178,0.6,2,0.38913176699351
10,5,-178,0.6,4,0.339460136733252
10,5,-178,0.6,6,0.261261742419854
10,5,-178,0.6,8,0.308558726372761
10,5,-178,0.6,10,0.488351896155796
10,5,-178,0.6,12,0.576960768854797
10,5,-178,0.6,14,0.487754458059796
10,5,-178,0.6,16,0.352966486864995
10,5,-178,0.6,18,0.279509217005974
10,5,-178,0.6,20,0.284844380136962
10,5,-178,0.6,22,0.325787280611592
10,5,-178,0.6,24,0.330012668218537
10,5,-178,0.6,26,0.283586022438616
10,5,-178,0.6,28,0.234797981216387
10,5,-178,0.6,30,0.219188141428489
10,5,-178,0.6,32,0.236475323825152
10,5,-178,0.6,34,0.259784748391816
10,5,-178,0.6,36,0.254005616910402
10,5,-178,0.6,38,0.216218503029559
10,5,-178,0.6,40,0.177595931971633
10,5,-178,0.6,42,0.161161991143512
10,5,-178,0.6,44,0.164108015869942
10,5,-178,0.6,46,0.169086593953562
10,5,-178,0.6,48,0.159888674021168
10,5,-178,0.6,50,0.137679969755564
10,5,-178,0.6,52,0.119576168182799
10,5,-178,0.6,54,0.116185912838789
10,5,-178,0.6,56,0.119465039714181
10,5,-178,0.6,58,0.11389345453931
10,5,-178,0.6,60,0.0929446816674525
10,5,-178,0.6,62,0.0661580777205912
10,5,-178,0.6,64,0.0517500503126265
10,5,-178,0.6,66,0.0585225750176412
10,5,-178,0.6,68,0.0758747997781182
10,5,-178,0.6,70,0.0845426894340071
10,5,-178,0.6,72,0.0752586050343982
10,5,-178,0.6,74,0.0563773587265263
10,5,-178,0.6,76,0.046945537103247
10,5,-178,0.6,78,0.0629049039241534
10,5,-178,0.6,80,0.105767176940658
10,5,-178,0.6,82,0.161432041881133
10,5,-178,0.6,84,0.21032982811699
10,5,-178,0.6,86,0.240574513743977
10,5,-178,0.6,88,0.253155480421099
10,5,-178,0.6,90,0.255924282045938
10,5,-178,0.6,92,0.253155480421096
10,5,-178,0.6,94,0.240574513743976
10,5,-178,0.6,96,0.21032982811699
10,5,-178,0.6,98,0.161432041881134
10,5,-178,0.6,100,0.105767176940659
10,5,-178,0.6,102,0.062904903924153
10,5,-178,0.6,104,0.046945537103246
10,5,-178,0.6,106,0.0563773587265261
10,5,-178,0.6,108,0.0752586050343989
10,5,-178,0.6,110,0.084542689434008
10,5,-178,0.6,112,0.075874799778118
10,5,-178,0.6,114,0.0585225750176416
10,5,-178,0.6,116,0.0517500503126262
10,5,-178,0.6,118,0.0661580777205916
10,5,-178,0.6,120,0.0929446816674512
10,5,-178,0.6,122,0.11389345453931
10,5,-178,0.6,124,0.119465039714181
10,5,-178,0.6,126,0.11618591283879
10,5,-178,0.6,128,0.1195761681828
10,5,-178,0.6,130,0.137679969755564
10,5,-178,0.6,132,0.159888674021167
10,5,-178,0.6,134,0.169086593953561
10,5,-178,0.6,136,0.164108015869941
10,5,-178,0.6,138,0.161161991143511
10,5,-178,0.6,140,0.177595931971633
10,5,-178,0.6,142,0.216218503029559
10,5,-178,0.6,144,0.254005616910401
10,5,-178,0.6,146,0.259784748391816
10,5,-178,0.6,148,0.236475323825151
10,5,-178,0.6,150,0.219188141428488
10,5,-178,0.6,152,0.234797981216386
10,5,-178,0.6,154,0.283586022438615
10,5,-178,0.6,156,0.330012668218537
10,5,-178,0.6,158,0.325787280611592
10,5,-178,0.6,160,0.284844380136962
10,5,-178,0.6,162,0.279509217005974
10,5,-178,0.6,164,0.352966486864997
10,5,-178,0.6,166,0.487754458059797
10,5,-178,0.6,168,0.576960768854797
10,5,-178,0.6,170,0.488351896155797
10,5,-178,0.6,172,0.308558726372761
10,5,-178,0.6,174,0.261261742419854
10,5,-178,0.6,176,0.339460136733252
10,5,-178,0.6,178,0.38913176699351
10,5,-178,0.6,180,0.396410183031528
10,7,-178,0.6,0,0.230763556206449
10,7,-178,0.6,2,0.36438883163229
10,7,-178,0.6,4,0.377870877616456
10,7,-178,0.6,6,0.387955480684731
10,7,-178,0.6,8,0.541215482358475
10,7,-178,0.6,10,0.482261276254795
10,7,-178,0.6,12,0.416249478135065
10,7,-178,0.6,14,0.366037180883853
10,7,-178,0.6,16,0.362876020882778
10,7,-178,0.6,18,0.33249330965155
10,7,-178,0.6,20,0.288865534858148
10,7,-178,0.6,22,0.275635477696585
10,7,-178,0.6,24,0.282538582372714
10,7,-178,0.6,26,0.260307927395807
10,7,-178,0.6,28,0.214650866976429
10,7,-178,0.6,30,0.207160004624277
10,7,-178,0.6,32,0.243574512128372
10,7,-178,0.6,34,0.238681866446518
10,7,-178,0.6,36,0.177263303386018
10,7,-178,0.6,38,0.141541937154199
10,7,-178,0.6,40,0.16664899897638
10,7,-178,0.6,42,0.193001081364278
10,7,-178,0.6,44,0.165558256908647
10,7,-178,0.6,46,0.132974987750206
10,7,-178,0.6,48,0.140488882866251
10,7,-178,0.6,50,0.150068528813186
10,7,-178,0.6,52,0.123610378143409
10,7,-178,0.6,54,0.0899955596318789
10,7,-178,0.6,56,0.0859385119411464
10,7,-178,0.6,58,0.0965974151865839
