"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(DirTotal) []"
10,5,0,0.6,13.8,-3.06715203307288
10,5,0,0.6,13.9,-3.12710688937903
10,5,0,0.6,14,-3.18888329326108
10,5,0,0.6,14.1,-3.25235152252688
10,5,0,0.6,14.2,-3.31738000784031
10,5,0,0.6,14.3,-3.3838354874291
10,5,0,0.6,14.4,-3.45158316422353
10,5,0,0.6,14.5,-3.52048686452824
10,5,0,0.6,14.6,-3.59040919726764
10,5,0,0.6,14.7,-3.66121171282954
10,5,0,0.6,14.8,-3.73275506056479
10,5,0,0.6,14.9,-3.80489914409098
10,5,0,0.6,15,-3.87750327369737
10,5,0,0.6,15.1,-3.95042631535991
10,5,0,0.6,15.2,-4.02352683615028
10,5,0,0.6,15.3,-4.09666324615958
10,5,0,0.6,15.4,-4.16969393745067
10,5,0,0.6,15.5,-4.24247742099859
10,5,0,0.6,15.6,-4.3148724630631
10,5,0,0.6,15.7,-4.3867382229508
10,5,0,0.6,15.8,-4.45793439464672
10,5,0,0.6,15.9,-4.52832135531187
10,5,0,0.6,16,-4.59776032412563
10,5,0,0.6,16.1,-4.66611353538199
10,5,0,0.6,16.2,-4.73324443009374
10,5,0,0.6,16.3,-4.79901787059634
10,5,0,0.6,16.4,-4.86330038274328
10,5,0,0.6,16.5,-4.92596043022212
10,5,0,0.6,16.6,-4.98686872527181
10,5,0,0.6,16.7,-5.04589857962842
10,5,0,0.6,16.8,-5.10292629885273
10,5,0,0.6,16.9,-5.15783162229589
10,5,0,0.6,17,-5.21049820983814
10,5,0,0.6,17.1,-5.26081417520338
10,5,0,0.6,17.2,-5.30867266413404
10,5,0,0.6,17.3,-5.35397247403857
10,5,0,0.6,17.4,-5.39661870994735
10,5,0,0.6,17.5,-5.43652346978524
10,5,0,0.6,17.6,-5.47360655016253
10,5,0,0.6,17.7,-5.50779616216956
10,5,0,0.6,17.8,-5.53902964511669
10,5,0,0.6,17.9,-5.56725416486568
10,5,0,0.6,18,-5.59242738243109
10,5,0,0.6,18.1,-5.61451807795239
10,5,0,0.6,18.2,-5.6335067150095
10,5,0,0.6,18.3,-5.64938593060888
10,5,0,0.6,18.4,-5.66216093702317
10,5,0,0.6,18.5,-5.67184982301855
10,5,0,0.6,18.6,-5.67848374381868
10,5,0,0.6,18.7,-5.68210699137868
10,5,0,0.6,18.8,-5.68277693910201
10,5,0,0.6,18.9,-5.68056385793312
10,5,0,0.6,19,-5.67555060369138
10,5,0,0.6,19.1,-5.66783217846676
10,5,0,0.6,19.2,-5.65751517175686
10,5,0,0.6,19.3,-5.64471708968257
10,5,0,0.6,19.4,-5.62956558297928
10,5,0,0.6,19.5,-5.61219758644028
10,5,0,0.6,19.6,-5.59275838403361
10,5,0,0.6,19.7,-5.57140061498433
10,5,0,0.6,19.8,-5.5482832366989
10,5,0,0.6,19.9,-5.52357046051779
10,5,0,0.6,20,-5.49743067594531
10,5,0,0.6,20.1,-5.47003537826865
10,5,0,0.6,20.2,-5.44155811340175
10,5,0,0.6,20.3,-5.41217345243951
10,5,0,0.6,20.4,-5.3820560068571
10,5,0,0.6,20.5,-5.35137949360953
10,5,0,0.6,20.6,-5.32031585764416
10,5,0,0.6,20.7,-5.28903445759867
10,5,0,0.6,20.8,-5.2577013187697
10,5,0,0.6,20.9,-5.22647845584828
10,5,0,0.6,21,-5.1955232664624
10,5,0,0.6,21.1,-5.16498799526697
10,5,0,0.6,21.2,-5.13501926719273
10,5,0,0.6,21.3,-5.10575768751655
10,5,0,0.6,21.4,-5.07733750564266
10,5,0,0.6,21.5,-5.04988633888379
10,5,0,0.6,21.6,-5.02352495209145
10,5,0,0.6,21.7,-4.99836708869182
10,5,0,0.6,21.8,-4.97451934852104
10,5,0,0.6,21.9,-4.95208110780627
10,5,0,0.6,22,-4.93114447668667
10,5,0,0.6,22.1,-4.91179428979739
10,5,0,0.6,22.2,-4.8941081256313
10,5,0,0.6,22.3,-4.87815635063554
10,5,0,0.6,22.4,-4.86400218427734
10,5,0,0.6,22.5,-4.85170178161686
10,5,0,0.6,22.6,-4.84130433024251
10,5,0,0.6,22.7,-4.832852158749
10,5,0,0.6,22.8,-4.82638085426296
10,5,0,0.6,22.9,-4.82191938684037
10,5,0,0.6,23,-4.81949023886959
10,5,0,0.6,23.1,-4.81910953791085
10,5,0,0.6,23.2,-4.82078719168503
10,5,0,0.6,23.3,-4.82452702418968
10,5,0,0.6,23.4,-4.83032691216826
10,5,0,0.6,23.5,-4.83817892138861
10,5,0,0.6,23.6,-4.8480694423984
10,5,0,0.6,23.7,-4.85997932561915
10,5,0,0.6,23.8,-4.87388401581711
10,5,0,0.6,23.9,-4.88975368614769
10,5,0,0.6,24,-4.9075533721128
10,5,0,0.6,24.1,-4.92724310589562
10,5,0,0.6,24.2,-4.94877805164695
10,5,0,0.6,24.3,-4.97210864239042
10,5,0,0.6,24.4,-4.99718071929145
10,5,0,0.6,24.5,-5.02393567409642
10,5,0,0.6,24.6,-5.05231059559418
10,5,0,0.6,24.7,-5.08223842098115
10,5,0,0.6,24.8,-5.11364809302523
10,5,0,0.6,24.9,-5.14646472391914
10,5,0,0.6,25,-5.18060976669399
10,5,0,0.6,25.1,-5.21600119502587
10,5,0,0.6,25.2,-5.25255369221275
10,5,0,0.6,25.3,-5.29017885002646
10,5,0,0.6,25.4,-5.32878537805399
10,5,0,0.6,25.5,-5.36827932403509
10,5,0,0.6,25.6,-5.408564305579
10,5,0,0.6,25.7,-5.44954175350345
10,5,0,0.6,25.8,-5.49111116688512
10,5,0,0.6,25.9,-5.53317037974378
10,5,0,0.6,26,-5.57561583910484
10,5,0,0.6,26.1,-5.61834289399943
10,5,0,0.6,26.2,-5.66124609476995
10,5,0,0.6,26.3,-5.70421950185627
10,5,0,0.6,26.4,-5.74715700304591
10,5,0,0.6,26.5,-5.78995263798624
10,5,0,0.6,26.6,-5.83250092857976
10,5,0,0.6,26.7,-5.87469721372091
10,5,0,0.6,26.8,-5.91643798668805
10,5,0,0.6,26.9,-5.95762123338032
10,5,0,0.6,27,-5.99814676949094
10,5,0,0.6,27.1,-6.03791657463793
10,5,0,0.6,27.2,-6.07683512143333
10,5,0,0.6,27.3,-6.11480969746427
10,5,0,0.6,27.4,-6.1517507181841
10,5,0,0.6,27.5,-6.18757202876974
10,5,0,0.6,27.6,-6.22219119309051
10,5,0,0.6,27.7,-6.255529768053
10,5,0,0.6,27.8,-6.28751356173137
10,5,0,0.6,27.9,-6.31807287386109
10,5,0,0.6,28,-6.34714271745971
10,5,0,0.6,28.1,-6.37466302053778
10,5,0,0.6,28.2,-6.40057880706976
10,5,0,0.6,28.3,-6.42484035660329
10,5,0,0.6,28.4,-6.447403342091
10,5,0,0.6,28.5,-6.46822894572563
10,5,0,0.6,28.6,-6.48728395274322
10,5,0,0.6,28.7,-6.50454082332579
10,5,0,0.6,28.8,-6.51997774288278
10,5,0,0.6,28.9,-6.53357865111399
10,5,0,0.6,29,-6.54533325036121
10,5,0,0.6,29.1,-6.55523699383307
10,5,0,0.6,29.2,-6.56329105434728
10,5,0,0.6,29.3,-6.56950227427094
10,5,0,0.6,29.4,-6.5738830973617
10,5,0,0.6,29.5,-6.57645148321883
10,5,0,0.6,29.6,-6.57723080505041
10,5,0,0.6,29.7,-6.5762497314533
10,5,0,0.6,29.8,-6.57354209289046
10,5,0,0.6,29.9,-6.56914673353812
10,5,0,0.6,30,-6.56310734916854
10,5,0,0.6,30.1,-6.55547231173204
10,5,0,0.6,30.2,-6.54629448130984
10,5,0,0.6,30.3,-6.5356310061248
10,5,0,0.6,30.4,-6.5235431113237
10,5,0,0.6,30.5,-6.51009587727983
10,5,0,0.6,30.6,-6.49535800820806
10,5,0,0.6,30.7,-6.47940159193501
10,5,0,0.6,30.8,-6.46230185172083
10,5,0,0.6,30.9,-6.44413689108627
10,5,0,0.6,31,-6.42498743265382
10,5,0,0.6,31.1,-6.40493655206402
10,5,0,0.6,31.2,-6.38406940807468
10,5,0,0.6,31.3,-6.36247296998724
10,5,0,0.6,31.4,-6.34023574357249
10,5,0,0.6,31.5,-6.31744749668125
10,5,0,0.6,31.6,-6.29419898572695
10,5,0,0.6,31.7,-6.2705816842132
10,5,0,0.6,31.8,-6.24668751445067
10,5,0,0.6,31.9,-6.22260858356484
10,5,0,0.6,32,-6.19843692483944
10,5,0,0.6,32.1,-6.17426424537046
10,5,0,0.6,32.2,-6.150181680925
10,5,0,0.6,32.3,-6.12627955880847
10,5,0,0.6,32.4,-6.10264716944555
10,5,0,0.6,32.5,-6.07937254727579
10,5,0,0.6,32.6,-6.05654226145786
10,5,0,0.6,32.7,-6.03424121676599
10,5,0,0.6,32.8,-6.01255246495413
10,5,0,0.6,32.9,-5.99155702675577
10,5,0,0.6,33,-5.97133372458463
10,5,0,0.6,33.1,-5.95195902590372
10,5,0,0.6,33.2,-5.93350689713873
