"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","DirTotal []"
10,5,-178,0.6,20,0.279937564568493
10,5,-178,0.6,22,0.320175170238392
10,5,-178,0.6,24,0.324327770038597
10,5,-178,0.6,26,0.278700883721001
10,5,-178,0.6,28,0.230753280074228
10,5,-178,0.6,30,0.215412340114564
10,5,-178,0.6,32,0.232401728271165
10,5,-178,0.6,34,0.255309617630075
10,5,-178,0.6,36,0.249630039217995
10,5,-178,0.6,38,0.212493857606165
10,5,-178,0.6,40,0.174536610655635
10,5,-178,0.6,42,0.158385765869879
10,5,-178,0.6,44,0.161281041482053
10,5,-178,0.6,46,0.166173857071649
10,5,-178,0.6,48,0.157134383293959
10,5,-178,0.6,50,0.135308252894806
10,5,-178,0.6,52,0.117516312891376
10,5,-178,0.6,54,0.114184459112793
10,5,-178,0.6,56,0.117407098755418
10,5,-178,0.6,58,0.111931491394341
10,5,-178,0.6,60,0.0913435884291271
10,5,-178,0.6,62,0.0650184186352222
10,5,-178,0.6,64,0.0508585882714201
10,5,-178,0.6,66,0.0575144474145429
10,5,-178,0.6,68,0.0745677574954979
10,5,-178,0.6,70,0.0830863314587661
10,5,-178,0.6,72,0.0739621775090719
10,5,-178,0.6,74,0.0554061852690213
10,5,-178,0.6,76,0.0461368390618196
10,5,-178,0.6,78,0.0618212849959524
10,5,-178,0.6,80,0.103945199514963
10,5,-178,0.6,82,0.158651164631699
10,5,-178,0.6,84,0.206706622791255
10,5,-178,0.6,86,0.236430304302849
10,5,-178,0.6,88,0.248794547437354
10,5,-178,0.6,90,0.251515652846764
10,5,-178,0.6,92,0.248794547437352
10,5,-178,0.6,94,0.236430304302848
10,5,-178,0.6,96,0.206706622791255
10,5,-178,0.6,98,0.1586511646317
10,5,-178,0.6,100,0.103945199514964
10,5,-178,0.6,102,0.061821284995952
10,5,-178,0.6,104,0.0461368390618186
10,5,-178,0.6,106,0.055406185269021
10,5,-178,0.6,108,0.0739621775090726
10,5,-178,0.6,110,0.083086331458767
10,5,-178,0.6,112,0.0745677574954978
10,5,-178,0.6,114,0.0575144474145434
10,5,-178,0.6,116,0.0508585882714198
10,5,-178,0.6,118,0.0650184186352225
10,5,-178,0.6,120,0.0913435884291258
10,5,-178,0.6,122,0.111931491394341
10,5,-178,0.6,124,0.117407098755418
10,5,-178,0.6,126,0.114184459112794
10,5,-178,0.6,128,0.117516312891376
10,5,-178,0.6,130,0.135308252894807
10,5,-178,0.6,132,0.157134383293957
10,5,-178,0.6,134,0.166173857071648
10,5,-178,0.6,136,0.161281041482052
10,5,-178,0.6,138,0.158385765869879
10,5,-178,0.6,140,0.174536610655635
10,5,-178,0.6,142,0.212493857606165
10,5,-178,0.6,144,0.249630039217995
10,5,-178,0.6,146,0.255309617630075
10,5,-178,0.6,148,0.232401728271164
10,5,-178,0.6,150,0.215412340114564
10,5,-178,0.6,152,0.230753280074227
10,5,-178,0.6,154,0.278700883721
10,5,-178,0.6,156,0.324327770038597
10,5,-178,0.6,158,0.320175170238393
10,5,-178,0.6,160,0.279937564568493
10,5,-178,0.6,162,0.274694306573562
10,5,-178,0.6,164,0.346886179252593
10,5,-178,0.6,166,0.479352252029798
10,5,-178,0.6,168,0.567021867895433
10,5,-178,0.6,170,0.479939398476199
10,5,-178,0.6,172,0.30324340029322
10,5,-178,0.6,174,0.256761168511621
10,5,-178,0.6,176,0.333612493599143
10,5,-178,0.6,178,0.382428465311548
10,5,-178,0.6,180,0.389581501150343
10,7,-178,0.6,0,0.22649486255751
10,7,-178,0.6,2,0.357648320622218
10,7,-178,0.6,4,0.370880974002918
10,7,-178,0.6,6,0.380779030799428
10,7,-178,0.6,8,0.53120400944555
10,7,-178,0.6,10,0.473340345753809
10,7,-178,0.6,12,0.40854964228187
10,7,-178,0.6,14,0.359266178499419
10,7,-178,0.6,16,0.356163494038597
10,7,-178,0.6,18,0.326342806068764
10,7,-178,0.6,20,0.283522063409202
10,7,-178,0.6,22,0.270536737529776
10,7,-178,0.6,24,0.27731214769654
10,7,-178,0.6,26,0.255492718206325
10,7,-178,0.6,28,0.210680227904713
10,7,-178,0.6,30,0.203327932478264
10,7,-178,0.6,32,0.239068839785398
10,7,-178,0.6,34,0.234266698886413
10,7,-178,0.6,36,0.173984264226659
10,7,-178,0.6,38,0.138923676376279
10,7,-178,0.6,40,0.163566304571654
10,7,-178,0.6,42,0.189430922783774
10,7,-178,0.6,44,0.162495739189588
10,7,-178,0.6,46,0.130515199493306
10,7,-178,0.6,48,0.137890101620649
10,7,-178,0.6,50,0.147292542056952
10,7,-178,0.6,52,0.121323817627537
10,7,-178,0.6,54,0.0883308103094616
10,7,-178,0.6,56,0.0843488104035508
10,7,-178,0.6,58,0.0948105438994125
10,7,-178,0.6,60,0.0826651715016702
10,7,-178,0.6,62,0.0449639361392558
10,7,-178,0.6,64,0.0251395653664822
10,7,-178,0.6,66,0.0347993145451595
10,7,-178,0.6,68,0.0400411966829439
10,7,-178,0.6,70,0.0327602857341511
10,7,-178,0.6,72,0.0330456918768323
10,7,-178,0.6,74,0.0463646899311592
10,7,-178,0.6,76,0.0571429821135056
10,7,-178,0.6,78,0.0564126316223619
10,7,-178,0.6,80,0.0655270857105466
10,7,-178,0.6,82,0.109547667538515
10,7,-178,0.6,84,0.165482647112967
10,7,-178,0.6,86,0.179135333499696
10,7,-178,0.6,88,0.144478719667316
10,7,-178,0.6,90,0.11995840002199
10,7,-178,0.6,92,0.144478719667318
10,7,-178,0.6,94,0.179135333499698
10,7,-178,0.6,96,0.165482647112969
10,7,-178,0.6,98,0.109547667538513
10,7,-178,0.6,100,0.0655270857105454
10,7,-178,0.6,102,0.0564126316223623
10,7,-178,0.6,104,0.0571429821135064
10,7,-178,0.6,106,0.0463646899311598
10,7,-178,0.6,108,0.0330456918768327
10,7,-178,0.6,110,0.0327602857341519
10,7,-178,0.6,112,0.0400411966829441
10,7,-178,0.6,114,0.0347993145451594
10,7,-178,0.6,116,0.0251395653664823
10,7,-178,0.6,118,0.0449639361392565
10,7,-178,0.6,120,0.0826651715016698
10,7,-178,0.6,122,0.0948105438994117
10,7,-178,0.6,124,0.0843488104035504
10,7,-178,0.6,126,0.0883308103094613
10,7,-178,0.6,128,0.121323817627537
10,7,-178,0.6,130,0.147292542056953
10,7,-178,0.6,132,0.13789010162065
10,7,-178,0.6,134,0.130515199493307
10,7,-178,0.6,136,0.16249573918959
10,7,-178,0.6,138,0.189430922783775
10,7,-178,0.6,140,0.163566304571655
10,7,-178,0.6,142,0.13892367637628
10,7,-178,0.6,144,0.17398426422666
10,7,-178,0.6,146,0.234266698886413
10,7,-178,0.6,148,0.239068839785398
10,7,-178,0.6,150,0.203327932478264
10,7,-178,0.6,152,0.210680227904713
10,7,-178,0.6,154,0.255492718206325
10,7,-178,0.6,156,0.27731214769654
10,7,-178,0.6,158,0.270536737529775
10,7,-178,0.6,160,0.283522063409202
10,7,-178,0.6,162,0.326342806068764
10,7,-178,0.6,164,0.356163494038597
10,7,-178,0.6,166,0.359266178499417
10,7,-178,0.6,168,0.408549642281868
10,7,-178,0.6,170,0.473340345753809
10,7,-178,0.6,172,0.53120400944555
10,7,-178,0.6,174,0.380779030799429
10,7,-178,0.6,176,0.370880974002917
10,7,-178,0.6,178,0.357648320622218
10,7,-178,0.6,180,0.226494862557509
10,10,-178,0.6,0,0.885613767282109
10,10,-178,0.6,2,0.674207681339809
10,10,-178,0.6,4,0.575136687144411
10,10,-178,0.6,6,0.746279995729781
10,10,-178,0.6,8,0.360086381066992
10,10,-178,0.6,10,0.358866420636452
10,10,-178,0.6,12,0.555310227263404
10,10,-178,0.6,14,0.313151117398285
10,10,-178,0.6,16,0.325766010630443
10,10,-178,0.6,18,0.373735067651295
10,10,-178,0.6,20,0.243377752817134
10,10,-178,0.6,22,0.255295392179474
10,10,-178,0.6,24,0.222875984557854
10,10,-178,0.6,26,0.220733810209805
10,10,-178,0.6,28,0.251686846218609
10,10,-178,0.6,30,0.168024865785501
10,10,-178,0.6,32,0.151256851445525
10,10,-178,0.6,34,0.18409396396463
10,10,-178,0.6,36,0.166019744211235
10,10,-178,0.6,38,0.147930422740675
10,10,-178,0.6,40,0.121804236444765
10,10,-178,0.6,42,0.123324174298411
10,10,-178,0.6,44,0.173168389327495
10,10,-178,0.6,46,0.135796872603043
10,10,-178,0.6,48,0.090406731436238
10,10,-178,0.6,50,0.131087121600249
10,10,-178,0.6,52,0.15391725427225
10,10,-178,0.6,54,0.102773021465099
10,10,-178,0.6,56,0.092270911982716
10,10,-178,0.6,58,0.0585089136624264
10,10,-178,0.6,60,0.0336015480782921
10,10,-178,0.6,62,0.0443227629818787
10,10,-178,0.6,64,0.0437070132357148
10,10,-178,0.6,66,0.0152050814271125
10,10,-178,0.6,68,0.0226948310318379
10,10,-178,0.6,70,0.032802021434492
10,10,-178,0.6,72,0.0470066930519036
10,10,-178,0.6,74,0.0648649842864002
10,10,-178,0.6,76,0.0410956812280424
10,10,-178,0.6,78,0.0308965549483244
10,10,-178,0.6,80,0.0860052195051922
10,10,-178,0.6,82,0.104712986151274
10,10,-178,0.6,84,0.100077500577673
10,10,-178,0.6,86,0.12700753767271
10,10,-178,0.6,88,0.115258504466085
10,10,-178,0.6,90,0.0875803975539218
10,10,-178,0.6,92,0.115258504466088
10,10,-178,0.6,94,0.127007537672711
10,10,-178,0.6,96,0.100077500577673
10,10,-178,0.6,98,0.104712986151274
10,10,-178,0.6,100,0.0860052195051896
10,10,-178,0.6,102,0.0308965549483228
10,10,-178,0.6,104,0.0410956812280419
10,10,-178,0.6,106,0.0648649842863982
10,10,-178,0.6,108,0.0470066930519013
10,10,-178,0.6,110,0.0328020214344906
10,10,-178,0.6,112,0.0226948310318377
10,10,-178,0.6,114,0.015205081427112
10,10,-178,0.6,116,0.0437070132357145
10,10,-178,0.6,118,0.0443227629818774
10,10,-178,0.6,120,0.0336015480782922
10,10,-178,0.6,122,0.0585089136624261
10,10,-178,0.6,124,0.0922709119827146
10,10,-178,0.6,126,0.102773021465098
10,10,-178,0.6,128,0.153917254272249
10,10,-178,0.6,130,0.131087121600247
10,10,-178,0.6,132,0.0904067314362379
10,10,-178,0.6,134,0.135796872603044
10,10,-178,0.6,136,0.173168389327495
10,10,-178,0.6,138,0.12332417429841
10,10,-178,0.6,140,0.121804236444763
10,10,-178,0.6,142,0.147930422740675
10,10,-178,0.6,144,0.166019744211235
10,10,-178,0.6,146,0.184093963964631
10,10,-178,0.6,148,0.151256851445527
10,10,-178,0.6,150,0.168024865785501
10,10,-178,0.6,152,0.251686846218611
10,10,-178,0.6,154,0.220733810209806
10,10,-178,0.6,156,0.222875984557855
10,10,-178,0.6,158,0.255295392179473
10,10,-178,0.6,160,0.243377752817132
10,10,-178,0.6,162,0.373735067651294
10,10,-178,0.6,164,0.325766010630445
10,10,-178,0.6,166,0.313151117398287
10,10,-178,0.6,168,0.555310227263404
10,10,-178,0.6,170,0.358866420636452
10,10,-178,0.6,172,0.360086381066993
10,10,-178,0.6,174,0.746279995729778
10,10,-178,0.6,176,0.575136687144411
10,10,-178,0.6,178,0.674207681339805
10,10,-178,0.6,180,0.885613767282106
10,5,-176,0.6,0,0.389581501150344
10,5,-176,0.6,2,0.376994714067598
10,5,-176,0.6,4,0.326919430455779
10,5,-176,0.6,6,0.250173741624803
10,5,-176,0.6,8,0.294983086878076
10,5,-176,0.6,10,0.471101440249957
10,5,-176,0.6,12,0.561613658090956
10,5,-176,0.6,14,0.477863840143541
10,5,-176,0.6,16,0.346228775878886
10,5,-176,0.6,18,0.273024481627906
10,5,-176,0.6,20,0.277221957620853
10,5,-176,0.6,22,0.318352380775619
10,5,-176,0.6,24,0.325382807688292
10,5,-176,0.6,26,0.280557670682282
10,5,-176,0.6,28,0.229538367758328
10,5,-176,0.6,30,0.209707574413171
10,5,-176,0.6,32,0.224344769314341
10,5,-176,0.6,34,0.249142528181128
10,5,-176,0.6,36,0.247887435445427
10,5,-176,0.6,38,0.213863565155988
10,5,-176,0.6,40,0.175361265721761
10,5,-176,0.6,42,0.155652441797856
10,5,-176,0.6,44,0.154675205183774
10,5,-176,0.6,46,0.157809463621334
10,5,-176,0.6,48,0.149750066644276
10,5,-176,0.6,50,0.130322144046073
10,5,-176,0.6,52,0.114392888641884
10,5,-176,0.6,54,0.111966262931553
10,5,-176,0.6,56,0.115971603637079
10,5,-176,0.6,58,0.111530633796548
10,5,-176,0.6,60,0.0925758097827602
10,5,-176,0.6,62,0.0682101249244527
10,5,-176,0.6,64,0.0537479705676903
10,5,-176,0.6,66,0.056472168389249
10,5,-176,0.6,68,0.070144312710657
10,5,-176,0.6,70,0.0811119626384109
10,5,-176,0.6,72,0.0792052728087518
10,5,-176,0.6,74,0.0661042613497802
10,5,-176,0.6,76,0.0551022601376052
10,5,-176,0.6,78,0.0607981942362864
10,5,-176,0.6,80,0.087030394038561
10,5,-176,0.6,82,0.124373184219271
10,5,-176,0.6,84,0.158607988578489
10,5,-176,0.6,86,0.180948972832862
10,5,-176,0.6,88,0.191294102556833
10,5,-176,0.6,90,0.193950021932505
10,5,-176,0.6,92,0.191294102556831
10,5,-176,0.6,94,0.180948972832861
10,5,-176,0.6,96,0.158607988578488
10,5,-176,0.6,98,0.124373184219272
10,5,-176,0.6,100,0.087030394038561
10,5,-176,0.6,102,0.0607981942362859
10,5,-176,0.6,104,0.0551022601376049
10,5,-176,0.6,106,0.0661042613497806
10,5,-176,0.6,108,0.0792052728087519
10,5,-176,0.6,110,0.0811119626384126
10,5,-176,0.6,112,0.070144312710657
10,5,-176,0.6,114,0.0564721683892487
10,5,-176,0.6,116,0.0537479705676897
10,5,-176,0.6,118,0.0682101249244527
10,5,-176,0.6,120,0.0925758097827603
10,5,-176,0.6,122,0.111530633796548
10,5,-176,0.6,124,0.115971603637079
10,5,-176,0.6,126,0.111966262931554
10,5,-176,0.6,128,0.114392888641885
10,5,-176,0.6,130,0.130322144046073
10,5,-176,0.6,132,0.149750066644275
10,5,-176,0.6,134,0.157809463621333
10,5,-176,0.6,136,0.154675205183773
10,5,-176,0.6,138,0.155652441797855
10,5,-176,0.6,140,0.175361265721762
10,5,-176,0.6,142,0.213863565155988
10,5,-176,0.6,144,0.247887435445426
10,5,-176,0.6,146,0.249142528181126
10,5,-176,0.6,148,0.22434476931434
10,5,-176,0.6,150,0.20970757441317
10,5,-176,0.6,152,0.229538367758328
10,5,-176,0.6,154,0.280557670682282
10,5,-176,0.6,156,0.325382807688292
10,5,-176,0.6,158,0.318352380775619
10,5,-176,0.6,160,0.277221957620852
10,5,-176,0.6,162,0.273024481627906
10,5,-176,0.6,164,0.346228775878885
10,5,-176,0.6,166,0.477863840143542
10,5,-176,0.6,168,0.561613658090956
10,5,-176,0.6,170,0.471101440249959
10,5,-176,0.6,172,0.294983086878076
10,5,-176,0.6,174,0.250173741624803
10,5,-176,0.6,176,0.326919430455779
10,5,-176,0.6,178,0.376994714067599
10,5,-176,0.6,180,0.389581501150343
10,7,-176,0.6,0,0.226494862557511
10,7,-176,0.6,2,0.361170708813398
10,7,-176,0.6,4,0.382826435351355
10,7,-176,0.6,6,0.378675184204332
10,7,-176,0.6,8,0.512884376322436
10,7,-176,0.6,10,0.458637596947343
10,7,-176,0.6,12,0.411915750802187
10,7,-176,0.6,14,0.37096302724152
10,7,-176,0.6,16,0.356898953661994
10,7,-176,0.6,18,0.319579805774258
10,7,-176,0.6,20,0.282289764570377
10,7,-176,0.6,22,0.274701987487291
10,7,-176,0.6,24,0.27763177205473
10,7,-176,0.6,26,0.251609357961161
10,7,-176,0.6,28,0.210133425962488
