"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(DirTotal) []"
10,5,90,0.6,13.8,-5.88524794368184
10,5,90,0.6,13.9,-5.77792285065189
10,5,90,0.6,14,-5.66845999684721
10,5,90,0.6,14.1,-5.5574625145505
10,5,90,0.6,14.2,-5.44549042214066
10,5,90,0.6,14.3,-5.33306014222609
10,5,90,0.6,14.4,-5.22064490525645
10,5,90,0.6,14.5,-5.10867584827846
10,5,90,0.6,14.6,-4.99754363778974
10,5,90,0.6,14.7,-4.8876004677418
10,5,90,0.6,14.8,-4.77916230657736
10,5,90,0.6,14.9,-4.6725112892874
10,5,90,0.6,15,-4.56789817089979
10,5,90,0.6,15.1,-4.46554477602277
10,5,90,0.6,15.2,-4.3656463948364
10,5,90,0.6,15.3,-4.26837408924286
10,5,90,0.6,15.4,-4.17387688388026
10,5,90,0.6,15.5,-4.08228382558928
10,5,90,0.6,15.6,-3.99370590195142
10,5,90,0.6,15.7,-3.90823781495791
10,5,90,0.6,15.8,-3.82595960997443
10,5,90,0.6,15.9,-3.74693816317864
10,5,90,0.6,16,-3.67122853277124
10,5,90,0.6,16.1,-3.59887518068401
10,5,90,0.6,16.2,-3.52991307238008
10,5,90,0.6,16.3,-3.46436866279329
10,5,90,0.6,16.4,-3.40226077658879
10,5,90,0.6,16.5,-3.34360139083074
10,5,90,0.6,16.6,-3.28839632788182
10,5,90,0.6,16.7,-3.23664586598723
10,5,90,0.6,16.8,-3.18834527455153
10,5,90,0.6,16.9,-3.1434852806329
10,5,90,0.6,17,-3.10205247267921
10,5,90,0.6,17.1,-3.06402964703002
10,5,90,0.6,17.2,-3.02939610222052
10,5,90,0.6,17.3,-2.99812788565912
10,5,90,0.6,17.4,-2.97019799680969
10,5,90,0.6,17.5,-2.945576550604
10,5,90,0.6,17.6,-2.9242309044336
10,5,90,0.6,17.7,-2.90612575173224
10,5,90,0.6,17.8,-2.89122318485304
10,5,90,0.6,17.9,-2.87948272967562
10,5,90,0.6,18,-2.87086135414054
10,5,90,0.6,18.1,-2.8653134527071
10,5,90,0.6,18.2,-2.86279080855996
10,5,90,0.6,18.3,-2.86324253525377
10,5,90,0.6,18.4,-2.8666149993812
10,5,90,0.6,18.5,-2.87285172577625
10,5,90,0.6,18.6,-2.88189328672662
10,5,90,0.6,18.7,-2.89367717665975
10,5,90,0.6,18.8,-2.90813767379381
10,5,90,0.6,18.9,-2.92520569030268
10,5,90,0.6,19,-2.94480861263591
10,5,90,0.6,19.1,-2.96687013376119
10,5,90,0.6,19.2,-2.99131007925708
10,5,90,0.6,19.3,-3.0180442293792
10,5,90,0.6,19.4,-3.04698413945157
10,5,90,0.6,19.5,-3.07803696119797
10,5,90,0.6,19.6,-3.11110526792325
10,5,90,0.6,19.7,-3.14608688677613
10,5,90,0.6,19.8,-3.18287474167722
10,5,90,0.6,19.9,-3.22135671086358
10,5,90,0.6,20,-3.26141550338579
10,5,90,0.6,20.1,-3.30292855928088
10,5,90,0.6,20.2,-3.34576797852706
10,5,90,0.6,20.3,-3.38980048424719
10,5,90,0.6,20.4,-3.43488742595411
10,5,90,0.6,20.5,-3.48088482890144
10,5,90,0.6,20.6,-3.52764349579703
10,5,90,0.6,20.7,-3.57500916723016
10,5,90,0.6,20.8,-3.62282274712918
10,5,90,0.6,20.9,-3.67092059937946
10,5,90,0.6,21,-3.71913492136136
10,5,90,0.6,21.1,-3.76729419958995
10,5,90,0.6,21.2,-3.81522375182595
10,5,90,0.6,21.3,-3.86274635896238
10,5,90,0.6,21.4,-3.90968298865819
10,5,90,0.6,21.5,-3.95585361108602
10,5,90,0.6,21.6,-4.00107810528846
10,5,90,0.6,21.7,-4.04517725252106
10,5,90,0.6,21.8,-4.08797381062788
10,5,90,0.6,21.9,-4.12929366100533
10,5,90,0.6,22,-4.16896701712471
10,5,90,0.6,22.1,-4.20682968098917
10,5,90,0.6,22.2,-4.2427243313977
10,5,90,0.6,22.3,-4.27650182558274
10,5,90,0.6,22.4,-4.30802249379805
10,5,90,0.6,22.5,-4.3371574048758
10,5,90,0.6,22.6,-4.36378957975212
10,5,90,0.6,22.7,-4.38781512958021
10,5,90,0.6,22.8,-4.40914429537412
10,5,90,0.6,22.9,-4.42770236720511
10,5,90,0.6,23,-4.44343046281119
10,5,90,0.6,23.1,-4.45628614804997
10,5,90,0.6,23.2,-4.46624388485868
10,5,90,0.6,23.3,-4.47329529617478
10,5,90,0.6,23.4,-4.47744924147888
10,5,90,0.6,23.5,-4.47873170108558
10,5,90,0.6,23.6,-4.47718547184526
10,5,90,0.6,23.7,-4.47286968135152
10,5,90,0.6,23.8,-4.4658591318931
10,5,90,0.6,23.9,-4.4562434890882
10,5,90,0.6,24,-4.44412633326152
10,5,90,0.6,24.1,-4.42962409406529
10,5,90,0.6,24.2,-4.41286489055058
10,5,90,0.6,24.3,-4.39398729983468
10,5,90,0.6,24.4,-4.37313907770624
10,5,90,0.6,24.5,-4.35047585400599
10,5,90,0.6,24.6,-4.32615982449875
10,5,90,0.6,24.7,-4.30035845930691
10,5,90,0.6,24.8,-4.27324324591969
10,5,90,0.6,24.9,-4.24498848244281
10,5,90,0.6,25,-4.21577013422293
10,5,90,0.6,25.1,-4.1857647643813
10,5,90,0.6,25.2,-4.15514854621606
10,5,90,0.6,25.3,-4.12409636296275
10,5,90,0.6,25.4,-4.09278099810656
10,5,90,0.6,25.5,-4.06137241736139
10,5,90,0.6,25.6,-4.03003714160461
10,5,90,0.6,25.7,-3.998937708498
10,5,90,0.6,25.8,-3.96823221923953
10,5,90,0.6,25.9,-3.93807396586957
10,5,90,0.6,26,-3.90861113378444
10,5,90,0.6,26.1,-3.87998657356998
10,5,90,0.6,26.2,-3.85233763592935
10,5,90,0.6,26.3,-3.82579606332056
10,5,90,0.6,26.4,-3.80048793190768
10,5,90,0.6,26.5,-3.77653363754123
10,5,90,0.6,26.6,-3.7540479196909
10,5,90,0.6,26.7,-3.73313991753443
10,5,90,0.6,26.8,-3.71391325273845
10,5,90,0.6,26.9,-3.69646613383362
10,5,90,0.6,27,-3.68089147746916
10,5,90,0.6,27.1,-3.66727704222188
10,5,90,0.6,27.2,-3.65570557101625
10,5,90,0.6,27.3,-3.64625493858274
10,5,90,0.6,27.4,-3.63899830072964
10,5,90,0.6,27.5,-3.63400424252804
10,5,90,0.6,27.6,-3.63133692280647
10,5,90,0.6,27.7,-3.63105621261779
10,5,90,0.6,27.8,-3.63321782557772
10,5,90,0.6,27.9,-3.63787343817794
10,5,90,0.6,28,-3.64507079835388
