"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(GainTotal) []"
10,7,-180,0.6,66,-13.546325173825
10,7,-180,0.6,68,-13.245167245747
10,7,-180,0.6,70,-15.0495004474788
10,7,-180,0.6,72,-15.1060301666614
10,7,-180,0.6,74,-12.8298426897258
10,7,-180,0.6,76,-11.7949268687228
10,7,-180,0.6,78,-12.0291223888053
10,7,-180,0.6,80,-11.0165950696579
10,7,-180,0.6,82,-8.26189241022829
10,7,-180,0.6,84,-6.31096680625814
10,7,-180,0.6,86,-5.92764460368662
10,7,-180,0.6,88,-6.8198528982951
10,7,-180,0.6,90,-7.59056260112505
10,7,-180,0.6,92,-6.81985289829514
10,7,-180,0.6,94,-5.92764460368663
10,7,-180,0.6,96,-6.31096680625816
10,7,-180,0.6,98,-8.26189241022827
10,7,-180,0.6,100,-11.0165950696578
10,7,-180,0.6,102,-12.0291223888053
10,7,-180,0.6,104,-11.7949268687227
10,7,-180,0.6,106,-12.8298426897257
10,7,-180,0.6,108,-15.1060301666614
10,7,-180,0.6,110,-15.0495004474788
10,7,-180,0.6,112,-13.2451672457469
10,7,-180,0.6,114,-13.546325173825
10,7,-180,0.6,116,-15.5098924882102
10,7,-180,0.6,118,-13.4457322596046
10,7,-180,0.6,120,-10.6625511890449
10,7,-180,0.6,122,-9.86485771423941
10,7,-180,0.6,124,-10.1352825292634
10,7,-180,0.6,126,-10.0363538310283
10,7,-180,0.6,128,-8.96984572653792
10,7,-180,0.6,130,-8.25991315205235
10,7,-180,0.6,132,-8.48488369904506
10,7,-180,0.6,134,-8.51273991682856
10,7,-180,0.6,136,-7.50215879591784
10,7,-180,0.6,138,-6.97558846591818
10,7,-180,0.6,140,-7.78017362693206
10,7,-180,0.6,142,-8.59472980423583
10,7,-180,0.6,144,-7.55922519617362
10,7,-180,0.6,146,-6.22851078055282
10,7,-180,0.6,148,-6.18939426191331
10,7,-180,0.6,150,-6.9595636382868
10,7,-180,0.6,152,-6.72716377443808
10,7,-180,0.6,154,-5.8174710594043
10,7,-180,0.6,156,-5.50522536511034
10,7,-180,0.6,158,-5.67498991710949
10,7,-180,0.6,160,-5.37592420438591
10,7,-180,0.6,162,-4.67598267374349
10,7,-180,0.6,164,-4.39757105009925
10,7,-180,0.6,166,-4.50694313224526
10,7,-180,0.6,168,-3.84721892480132
10,7,-180,0.6,170,-3.03481616837234
10,7,-180,0.6,172,-2.5161855302188
10,7,-180,0.6,174,-4.06762740098702
10,7,-180,0.6,176,-4.34350417234102
10,7,-180,0.6,178,-4.4218569353298
10,7,-180,0.6,180,-6.36832776920793
10,10,-180,0.6,0,-0.45394108584324
10,10,-180,0.6,2,-1.52630027841539
10,10,-180,0.6,4,-2.1445421986209
10,10,-180,0.6,6,-1.19744612104682
10,10,-180,0.6,8,-4.46454539359788
10,10,-180,0.6,10,-4.29097327471252
10,10,-180,0.6,12,-2.42322424472328
10,10,-180,0.6,14,-4.96394284726598
10,10,-180,0.6,16,-4.72011799508505
10,10,-180,0.6,18,-4.18236371848514
10,10,-180,0.6,20,-6.03718769396403
10,10,-180,0.6,22,-5.91425956309039
10,10,-180,0.6,24,-6.54801912651486
10,10,-180,0.6,26,-6.28886223873007
10,10,-180,0.6,28,-5.81296003402422
10,10,-180,0.6,30,-7.75101116618787
10,10,-180,0.6,32,-8.09191635301489
10,10,-180,0.6,34,-7.45636936498369
10,10,-180,0.6,36,-7.92372134942832
10,10,-180,0.6,38,-8.02210200939625
10,10,-180,0.6,40,-9.21053898854374
10,10,-180,0.6,42,-9.3131884376927
10,10,-180,0.6,44,-7.41836412063155
10,10,-180,0.6,46,-8.43991528458413
10,10,-180,0.6,48,-9.79658838254491
10,10,-180,0.6,50,-8.4054367215901
10,10,-180,0.6,52,-8.35583586585711
10,10,-180,0.6,54,-10.1200197803094
10,10,-180,0.6,56,-9.86458280476269
10,10,-180,0.6,58,-11.8323817952999
10,10,-180,0.6,60,-14.1772461428063
10,10,-180,0.6,62,-12.7457619442863
10,10,-180,0.6,64,-13.5006054094112
10,10,-180,0.6,66,-19.4451560524079
10,10,-180,0.6,68,-14.801414155336
10,10,-180,0.6,70,-13.8993901603156
10,10,-180,0.6,72,-12.7577453501789
10,10,-180,0.6,74,-11.0894418947259
10,10,-180,0.6,76,-13.9432832039033
10,10,-180,0.6,78,-12.7344957939638
10,10,-180,0.6,80,-8.4752558387031
10,10,-180,0.6,82,-8.45106507794032
10,10,-180,0.6,84,-8.65311952434665
10,10,-180,0.6,86,-6.95235746576632
10,10,-180,0.6,88,-7.1943972389357
10,10,-180,0.6,90,-8.42774509268721
10,10,-180,0.6,92,-7.19439723893569
10,10,-180,0.6,94,-6.95235746576631
10,10,-180,0.6,96,-8.65311952434659
10,10,-180,0.6,98,-8.45106507794019
10,10,-180,0.6,100,-8.4752558387031
10,10,-180,0.6,102,-12.734495793964
10,10,-180,0.6,104,-13.9432832039035
10,10,-180,0.6,106,-11.0894418947259
10,10,-180,0.6,108,-12.7577453501789
10,10,-180,0.6,110,-13.8993901603155
10,10,-180,0.6,112,-14.801414155336
10,10,-180,0.6,114,-19.4451560524078
10,10,-180,0.6,116,-13.5006054094112
10,10,-180,0.6,118,-12.7457619442863
10,10,-180,0.6,120,-14.1772461428062
10,10,-180,0.6,122,-11.8323817952998
10,10,-180,0.6,124,-9.86458280476273
10,10,-180,0.6,126,-10.1200197803094
10,10,-180,0.6,128,-8.35583586585711
10,10,-180,0.6,130,-8.4054367215901
10,10,-180,0.6,132,-9.79658838254487
10,10,-180,0.6,134,-8.43991528458406
10,10,-180,0.6,136,-7.41836412063159
10,10,-180,0.6,138,-9.31318843769267
10,10,-180,0.6,140,-9.21053898854377
10,10,-180,0.6,142,-8.02210200939632
10,10,-180,0.6,144,-7.92372134942834
10,10,-180,0.6,146,-7.45636936498373
10,10,-180,0.6,148,-8.09191635301488
10,10,-180,0.6,150,-7.75101116618785
10,10,-180,0.6,152,-5.81296003402424
10,10,-180,0.6,154,-6.28886223873008
10,10,-180,0.6,156,-6.54801912651482
10,10,-180,0.6,158,-5.9142595630904
10,10,-180,0.6,160,-6.03718769396406
10,10,-180,0.6,162,-4.18236371848515
10,10,-180,0.6,164,-4.72011799508506
10,10,-180,0.6,166,-4.96394284726599
10,10,-180,0.6,168,-2.42322424472329
10,10,-180,0.6,170,-4.29097327471253
10,10,-180,0.6,172,-4.46454539359785
10,10,-180,0.6,174,-1.19744612104682
10,10,-180,0.6,176,-2.1445421986209
10,10,-180,0.6,178,-1.52630027841542
10,10,-180,0.6,180,-0.453941085843249
10,5,-178,0.6,0,-4.01855197835602
10,5,-178,0.6,2,-4.09903313871556
10,5,-178,0.6,4,-4.69211218182445
10,5,-178,0.6,6,-5.82924181058717
10,5,-178,0.6,8,-5.10662166760706
10,5,-178,0.6,10,-3.11267121678386
10,5,-178,0.6,12,-2.38853716218831
10,5,-178,0.6,14,-3.11798752477942
10,5,-178,0.6,16,-4.52266527644865
10,5,-178,0.6,18,-5.5360386638638
10,5,-178,0.6,20,-5.45392344575154
10,5,-178,0.6,22,-4.87065875423552
10,5,-178,0.6,24,-4.81469388510576
10,5,-178,0.6,26,-5.47315178733602
10,5,-178,0.6,28,-6.29305641454884
10,5,-178,0.6,30,-6.59182945860499
10,5,-178,0.6,32,-6.26214171144759
10,5,-178,0.6,34,-5.85386349351153
10,5,-178,0.6,36,-5.95156679576042
10,5,-178,0.6,38,-6.65107143778668
10,5,-178,0.6,40,-7.50566986431889
10,5,-178,0.6,42,-7.92737375576922
10,5,-178,0.6,44,-7.84870205278039
10,5,-178,0.6,46,-7.71890824115988
10,5,-178,0.6,48,-7.9618229913257
10,5,-178,0.6,50,-8.61129238082828
10,5,-178,0.6,52,-9.22355367655537
