Num. de Lamb ,Rel. D1/D2,3dB bandwidth,Dir Plan H dB,Side Lobe Level
5.0,0.6,11.599999999999994,-2.4281171221670204,9.325873406851315e-15
6.0,0.6,165.2,-0.17069790530276,1.9984014443252818e-15
7.0,0.6,139.2,-2.56271163712737,0.0
7.0,0.7,137.39999999999998,-1.4982117482382602,0.0
7.0,0.8,109.4,-1.88270102969994,1.9984014443252818e-14
7.0,0.9,117.6,-1.6033342259111398,1.9984014443252818e-14
7.0,1.0,124.80000000000001,-1.4622600354903201,2.9976021664879227e-14
7.0,1.1,116.2,-1.37151052863395,9.992007221626409e-15
7.0,1.2,131.8,-1.19213118739138,2.9753977059954195e-14
7.0,1.3,164.2,-1.09593271222263,1.021405182655144e-14
7.0,1.4,163.60000000000002,-1.15106226526795,2.9976021664879227e-14
7.0,1.5,163.60000000000002,-1.1345688720274498,9.992007221626409e-15
7.0,1.6,113.6,-1.14783382327072,0.0
7.0,1.7,137.8,-1.01458822946681,9.769962616701378e-15
7.0,1.8,162.8,-1.22119445231585,9.992007221626409e-15
7.0,1.9,139.0,-1.08545728014418,1.9984014443252818e-14
7.0,2.0,136.8,-1.30133870232919,0.0
8.0,0.6,164.39999999999998,0.0119627664663261,1.4399939574083476e-14
9.0,0.6,178.2,-1.6706243881429699,0.0
10.0,0.6,154.0,-0.5275564076508711,1.6986412276764895e-14
11.0,0.6,167.6,-0.606407852787781,7.993605777301127e-15
12.0,0.6,174.4,-1.76237782975281,9.992007221626409e-15
13.0,0.6,172.2,1.24841289616977,9.769962616701378e-15
14.0,0.6,176.4,-0.93208488389441,1.199040866595169e-14
15.0,0.6,172.8,3.5799190833911902,0.0
5.0,0.6,10.599999999999994,15.367240006721802,13.992528704240552
6.0,0.6,8.800000000000011,16.3629366721684,13.97949814158935
7.0,0.6,7.599999999999994,17.158240665194,14.18074816334523
7.0,0.7,7.400000000000006,17.5815397381048,14.041765359322191
7.0,0.8,7.400000000000006,17.667868008110197,13.818949954646888
7.0,0.9,7.400000000000006,17.6602480490261,13.533064211990542
7.0,1.0,7.400000000000006,17.703167944871602,13.813070649579442
7.0,1.1,7.400000000000006,17.672795988901697,13.899584092446919
7.0,1.2,7.400000000000006,17.786307631111697,13.683804774526298
7.0,1.3,7.400000000000006,17.8270194131455,13.522671766823091
7.0,1.4,7.199999999999989,17.712877096451898,13.277933166018869
7.0,1.5,7.400000000000006,17.697332394918,13.042060716795481
7.0,1.6,7.199999999999989,17.6136050456442,13.42732253761753
7.0,1.7,7.199999999999989,17.5819720280767,12.93947537626675
7.0,1.8,7.400000000000006,17.744345411033603,13.416212834422204
7.0,1.9,7.199999999999989,17.696775444883198,13.353615805580008
7.0,2.0,7.400000000000006,17.780572526342898,13.369704004669348
8.0,0.6,6.599999999999994,17.8323124243097,13.870092738425589
9.0,0.6,5.800000000000011,18.3492516325411,14.008205522939381
10.0,0.6,5.199999999999989,18.895075187485602,14.403539213217304
11.0,0.6,4.800000000000011,19.2257718217467,14.31894845958045
12.0,0.6,4.400000000000006,19.6492631763333,14.37927639891878
13.0,0.6,4.0,19.9834418272146,14.498444995590102
14.0,0.6,3.8000000000000114,20.3020842399035,14.12947665827533
15.0,0.6,3.4000000000000057,20.6122814682032,14.46106034108359
