Num. de Lamb ,Rel. D1/D2,3dB bandwidth,Dir Plan H dB,Side Lobe Level
3.0,0.6,17.400000000000006,13.5267427628352,12.784891424788364
3.0,0.7,17.400000000000006,13.5267427628352,12.884891424788364
3.0,0.8,17.599999999999994,13.8074225139244,12.981923282215332
3.0,0.9,17.400000000000006,13.864059667188899,12.71486869254048
3.0,1.0,17.400000000000006,13.8181800498021,12.52098566099574
3.0,1.1,17.19999999999999,13.8784295925,12.80708685108676
3.0,1.2,17.400000000000006,13.9015462486992,12.419800273303899
3.0,1.3,17.19999999999999,14.023618311840199,12.593986672363918
3.0,1.4,17.19999999999999,13.8399752750075,12.48386105939505
3.0,1.5,17.400000000000006,13.878748261198599,12.587140531139468
3.0,1.6,17.19999999999999,13.9667105322848,12.12418710880579
3.0,1.7,17.400000000000006,13.8608812814477,12.19568181277033
3.0,1.8,17.19999999999999,13.9342552814383,12.578094661599621
3.0,1.9,17.19999999999999,13.7731079144907,12.2869481469028
3.0,2.0,17.19999999999999,13.957938714983099,12.32661250966236
4.0,0.6,13.0,14.871534574684999,13.267554155834459
4.0,0.7,13.0,14.871534574684999,13.267554155834459
4.0,0.8,13.0,15.056571070904601,13.57161805184722
4.0,0.9,13.0,15.1561800812561,13.485735662525059
4.0,1.0,13.0,15.218027247770001,13.351538996286262
4.0,1.1,13.0,15.18123150014,13.429502203699538
4.0,1.2,13.0,15.1361978393202,13.30807546428917
4.0,1.3,13.0,15.186640444005198,13.139374269094478
4.0,1.4,13.0,15.171063354203401,13.152863978661681
4.0,1.5,12.800000000000011,15.1300080732426,12.85651654802337
4.0,1.6,12.800000000000011,15.115520578764201,12.803603455304511
4.0,1.7,12.800000000000011,15.068904516748901,12.96873306996348
4.0,1.8,12.800000000000011,15.0890708517841,12.869911901570221
4.0,1.9,12.800000000000011,15.191093463637301,12.96149644943026
4.0,2.0,12.599999999999994,15.246181294669,12.65401146840613
5.0,0.6,10.599999999999994,15.367240006721802,13.992528704240552
5.0,0.7,10.400000000000006,15.9813607689821,13.98730846518744
5.0,0.8,10.400000000000006,16.022307559816802,13.599982040299512
5.0,0.9,10.400000000000006,16.1223562439156,13.2820457013138
5.0,1.0,10.400000000000006,16.2477038237879,13.346862242680482
5.0,1.1,10.199999999999989,16.110180713931598,13.523098709992349
5.0,1.2,10.199999999999989,16.1663126529706,13.14696579404761
5.0,1.3,10.199999999999989,16.2632704901229,13.329057977019609
5.0,1.4,10.199999999999989,16.2068367135153,13.304438865450821
5.0,1.5,10.199999999999989,16.05968409009,13.284286263501228
5.0,1.6,10.199999999999989,16.230411610181196,13.221590563262456
5.0,1.7,10.199999999999989,16.1824858245871,13.21464681124617
5.0,1.8,10.199999999999989,16.1206758583678,13.03355529427921
5.0,1.9,10.199999999999989,16.2403441510541,13.05781605621274
5.0,2.0,10.199999999999989,16.1035065459503,13.03468635282092
6.0,0.6,8.800000000000011,16.3629366721684,13.97949814158935
6.0,0.7,8.800000000000011,16.7533646425199,14.00555874606902
6.0,0.8,8.599999999999994,16.903786813278803,13.687581014889313
6.0,0.9,8.599999999999994,17.0098569734216,14.034016436062178
6.0,1.0,8.599999999999994,16.938790456854402,13.374936504118772
6.0,1.1,8.599999999999994,17.0122987601965,13.571082906932972
6.0,1.2,8.599999999999994,17.0498623011427,13.11107392820083
6.0,1.3,8.400000000000006,17.0297069160078,13.20508211915832
6.0,1.4,8.599999999999994,17.0941176432826,13.343765510423982
6.0,1.5,8.400000000000006,16.9408875414823,13.300150022375881
6.0,1.6,8.599999999999994,17.0221752201565,13.443293194909232
6.0,1.7,8.400000000000006,17.0277795719886,13.408558715582929
6.0,1.8,8.400000000000006,17.041347839826,13.271831336775058
6.0,1.9,8.599999999999994,17.0738766408689,13.15205031622896
6.0,2.0,8.599999999999994,16.9658932630308,13.03747798753908
7.0,0.6,7.599999999999994,17.158240665194,14.18074816334523
7.0,0.7,7.400000000000006,17.5815397381048,14.041765359322191
7.0,0.8,7.400000000000006,17.667868008110197,13.818949954646888
7.0,0.9,7.400000000000006,17.6602480490261,13.533064211990542
7.0,1.0,7.400000000000006,17.703167944871602,13.813070649579442
7.0,1.1,7.400000000000006,17.672795988901697,13.899584092446919
7.0,1.2,7.400000000000006,17.786307631111697,13.683804774526298
7.0,1.3,7.400000000000006,17.8270194131455,13.522671766823091
7.0,1.4,7.199999999999989,17.712877096451898,13.277933166018869
7.0,1.5,7.400000000000006,17.697332394918,13.042060716795481
7.0,1.6,7.199999999999989,17.6136050456442,13.42732253761753
7.0,1.7,7.199999999999989,17.5819720280767,12.939475376266758
7.0,1.8,7.400000000000006,17.744345411033603,13.416212834422204
7.0,1.9,7.199999999999989,17.696775444883198,13.353615805580008
7.0,2.0,7.400000000000006,17.780572526342898,13.369704004669348
8.0,0.6,6.599999999999994,17.8323124243097,13.870092738425589
8.0,0.7,6.400000000000006,18.1084198766715,13.88747344470778
8.0,0.8,6.400000000000006,18.2948978088579,13.725978164680331
8.0,0.9,6.400000000000006,18.3809539625116,13.747634436727761
8.0,1.0,6.400000000000006,18.291250675948103,13.524199266989752
8.0,1.1,6.400000000000006,18.375284291981,13.648265340191369
8.0,1.2,6.400000000000006,18.283600178817,13.604179998555491
8.0,1.3,6.400000000000006,18.208910462421102,13.389755083099821
8.0,1.4,6.400000000000006,18.3191267393435,12.98453496589735
8.0,1.5,6.400000000000006,18.322419703374397,12.929679481042767
8.0,1.6,6.400000000000006,18.3984690301333,13.206338396373848
8.0,1.7,6.400000000000006,18.387594518232,13.131880342747259
8.0,1.8,6.400000000000006,18.3428826991858,13.35199327962863
8.0,1.9,6.400000000000006,18.3735883470819,13.298512644335869
8.0,2.0,6.400000000000006,18.2854219418881,13.16431342117304
9.0,0.6,5.800000000000011,18.3492516325411,14.008205522939381
9.0,0.7,5.800000000000011,18.6539702509134,13.799105918722969
9.0,0.8,5.800000000000011,18.8594104796326,13.871392117460891
9.0,0.9,5.599999999999994,18.7934812547786,13.447378088443042
